gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
686440634	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8df64394-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	PIHUAMO, 20 MI S, 5 MI W OF	Jalisco	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	18.9622558	-103.4559631							1967-04-20	20	4	1967	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	111978				CC_BY_4_0		CLIFTON P L			2025-03-05T20:57:38.788Z		COORDINATE_REPROJECTED
686434738	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8da1a4db-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	CUITZAMALA	Jalisco	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	19.3851185	-104.9664517							1966-02-10	10	2	1966	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	105878				CC_BY_4_0		CLIFTON P L			2025-03-05T20:57:36.434Z		COORDINATE_REPROJECTED
686429538	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8d59c483-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	MASCOTA, 5 MI SSE OF	Jalisco	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	20.4586121	-104.7587863							1965-04-01	1	4	1965	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	100657				CC_BY_4_0		CLIFTON P L			2025-03-05T20:57:33.917Z		COORDINATE_REPROJECTED
686419995	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8cf810bf-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	CHOIX, 25 KM N, 3 KM W OF	Sinaloa	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	26.9349663	-108.353316							1962-05-28	28	5	1962	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	90986				CC_BY_4_0		CLIFTON P L			2025-03-05T20:57:27.601Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED
686418941	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8ce81805-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	EL FUERTE	Sinaloa	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	26.4163902	-108.6175782							1962-01-18	18	1	1962	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	89922				CC_BY_4_0		CLIFTON P L			2025-03-05T20:57:26.601Z		COORDINATE_REPROJECTED
686416708	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8ccddd08-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	RUIZ, 15 KM E OF; NEAR EL VENADO	Nayarit	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	21.9435238	-105.0147115							1960-07-01	1	7	1960	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	87666				CC_BY_4_0		LEE M R			2025-03-05T20:57:25.560Z		COORDINATE_REPROJECTED
686416707	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8ccddbbd-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	RUIZ, 15 KM E OF; NEAR EL VENADO	Nayarit	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	21.9435238	-105.0147115							1960-07-01	1	7	1960	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	87665				CC_BY_4_0		LEE M R			2025-03-05T20:57:25.538Z		COORDINATE_REPROJECTED
686414456	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8cc1e5ae-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	URIQUE	Chihuahua	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	27.2127528	-107.9142363							1960-06-24	24	6	1960	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	85406				CC_BY_4_0		JONES J K JR			2025-03-05T20:57:24.817Z		COORDINATE_REPROJECTED
686397223	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8bf0605f-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	TEPIC; RIO MOLOLOA	Nayarit	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	21.5166124	-104.8941369							1951-07-01	1	7	1951	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	68063				CC_BY_4_0		DICKERMAN R W			2025-03-05T20:57:15.278Z		COORDINATE_REPROJECTED
686395390	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8bd61614-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lontra	Lontra longicaudis	annectens	SUBSPECIES	Lontra longicaudis annectens (Major, 1897)	Lontra longicaudis annectens		MX	CHICOMUCELO (100 KM SE OF COMITAN)	Chiapas	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	15.7424819	-92.2849305							1955-03-15	15	3	1955	6163971	2433738	PRESERVED_SPECIMEN	KU	KUM	66223				CC_BY_4_0		DICKERMAN R W			2025-03-05T20:57:14.210Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED
